scenario_id,scenario_name,scenario_type,feature_name,file_path,language_area,requires_runtime
clauses-call-Call1-01,[1] Standalone call to procedure that takes no arguments and yields no results,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-02,"[2] Standalone call to procedure that takes no arguments and yields no results, called with implicit arguments",Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-03,[3] In-query call to procedure that takes no arguments and yields no results,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-04,[4] In-query call to procedure that takes no arguments and yields no results and consumes no rows,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-05,[5] Standalone call to STRING procedure that takes no arguments,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-06,[6] In-query call to STRING procedure that takes no arguments,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-07,[7] Standalone call to procedure should fail if explicit argument is missing,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-08,[8] In-query call to procedure should fail if explicit argument is missing,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-09,[9] Standalone call to procedure should fail if too many explicit argument are given,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-10,[10] In-query call to procedure should fail if too many explicit argument are given,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-11,[11] Standalone call to procedure should fail if implicit argument is missing,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-12,[12] In-query call to procedure that has outputs fails if no outputs are yielded,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-13,[13] Standalone call to unknown procedure should fail,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-14,[14] In-query call to unknown procedure should fail,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-15,[15] In-query procedure call should fail if shadowing an already bound variable,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call1-16,[16] In-query procedure call should fail if one of the argument expressions uses an aggregation function,Scenario,Call1 - Basic procedure calling,clauses/call/Call1.feature,clauses.call,False
clauses-call-Call2-01,[1] In-query call to procedure with explicit arguments,Scenario,Call2 - Procedure arguments,clauses/call/Call2.feature,clauses.call,False
clauses-call-Call2-02,[2] Standalone call to procedure with explicit arguments,Scenario,Call2 - Procedure arguments,clauses/call/Call2.feature,clauses.call,False
clauses-call-Call2-03,[3] Standalone call to procedure with implicit arguments,Scenario,Call2 - Procedure arguments,clauses/call/Call2.feature,clauses.call,False
clauses-call-Call2-04,[4] In-query call to procedure that takes arguments fails when trying to pass them implicitly,Scenario,Call2 - Procedure arguments,clauses/call/Call2.feature,clauses.call,False
clauses-call-Call2-05,[5] Standalone call to procedure should fail if input type is wrong,Scenario,Call2 - Procedure arguments,clauses/call/Call2.feature,clauses.call,False
clauses-call-Call2-06,[6] In-query call to procedure should fail if input type is wrong,Scenario,Call2 - Procedure arguments,clauses/call/Call2.feature,clauses.call,False
clauses-call-Call3-01,[1] Standalone call to procedure with argument of type NUMBER accepts value of type INTEGER,Scenario,Call3 - Assignable-type arguments,clauses/call/Call3.feature,clauses.call,True
clauses-call-Call3-02,[2] In-query call to procedure with argument of type NUMBER accepts value of type INTEGER,Scenario,Call3 - Assignable-type arguments,clauses/call/Call3.feature,clauses.call,True
clauses-call-Call3-03,[3] Standalone call to procedure with argument of type NUMBER accepts value of type FLOAT,Scenario,Call3 - Assignable-type arguments,clauses/call/Call3.feature,clauses.call,True
clauses-call-Call3-04,[4] In-query call to procedure with argument of type NUMBER accepts value of type FLOAT,Scenario,Call3 - Assignable-type arguments,clauses/call/Call3.feature,clauses.call,True
clauses-call-Call3-05,[5] Standalone call to procedure with argument of type FLOAT accepts value of type INTEGER,Scenario,Call3 - Assignable-type arguments,clauses/call/Call3.feature,clauses.call,True
clauses-call-Call3-06,[6] In-query call to procedure with argument of type FLOAT accepts value of type INTEGER,Scenario,Call3 - Assignable-type arguments,clauses/call/Call3.feature,clauses.call,True
clauses-call-Call4-01,[1] Standalone call to procedure with null argument,Scenario,Call4 - Null Arguments,clauses/call/Call4.feature,clauses.call,True
clauses-call-Call4-02,[2] In-query call to procedure with null argument,Scenario,Call4 - Null Arguments,clauses/call/Call4.feature,clauses.call,True
clauses-call-Call5-01,[1] Explicit procedure result projection,Scenario,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call5-02,[2] Explicit procedure result projection with RETURN *,Scenario,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call5-03,[3] The order of yield items is irrelevant,Scenario Outline,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call5-04,[4] Rename outputs to unbound variable names,Scenario Outline,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call5-05,[5] Fail on renaming to an already bound variable name,Scenario,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call5-06,[6] Fail on renaming all outputs to the same variable name,Scenario,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call5-07,[7] Fail on in-query call to procedure with YIELD *,Scenario,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call5-08,[8] Allow standalone call to procedure with YIELD *,Scenario,Call5 - Results projection,clauses/call/Call5.feature,clauses.call,False
clauses-call-Call6-01,[1] Calling the same STRING procedure twice using the same outputs in each call,Scenario,Call6 - Call clause interoperation with other clauses,clauses/call/Call6.feature,clauses.call,True
clauses-call-Call6-02,[2] Project procedure results between query scopes with WITH clause,Scenario,Call6 - Call clause interoperation with other clauses,clauses/call/Call6.feature,clauses.call,True
clauses-call-Call6-03,[3] Project procedure results between query scopes with WITH clause and rename the projection,Scenario,Call6 - Call clause interoperation with other clauses,clauses/call/Call6.feature,clauses.call,True
clauses-create-Create1-01,[1] Create a single node,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
clauses-create-Create1-02,[2] Create two nodes,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
clauses-create-Create1-03,[3] Create a single node with a label,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
clauses-create-Create1-04,[4] Create two nodes with same label,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
clauses-create-Create1-05,[5] Create a single node with multiple labels,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
clauses-create-Create1-06,[6] Create three nodes with multiple labels,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
clauses-create-Create1-07,[7] Create a single node with a property,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
clauses-create-Create1-08,[8] Create a single node with a property and return it,Scenario,Create1 - Creating nodes,clauses/create/Create1.feature,clauses.create,False
